SCT_ID,SCH_ID,SCH_DAY,SCH_STARTTIME,SCH_ENDTIME
10106R,1,MON,14:00,15:20
10106R,2,WED,14:00,15:20
10107R,3,TUE,14:00,15:20
10107R,4,THU,14:00,15:20
10111R,5,TUE,11:00,12:20
10111R,6,THU,11:00,12:20
10113D,7,TUE,12:30,13:50
10113D,8,THU,12:30,13:50
10114R,9,MON,14:00,15:20
10114R,10,WED,14:00,15:20
10116R,11,MON,12:30,13:50
10116R,12,WED,12:30,13:50
10119R,13,TUE,11:00,12:20
10119R,14,THU,11:00,12:20
10122R,15,TUE,12:30,13:50
10122R,16,THU,12:30,13:50
10123R,17,TUE,11:00,12:20
10123R,18,THU,11:00,12:20
10127R,19,TUE,17:00,18:20
10127R,20,THU,17:00,18:20
10131R,21,TUE,8:00,9:20
10131R,22,THU,8:00,9:20
10132R,23,TUE,10:00,11:20
10132R,24,THU,10:00,11:20
10133R,25,TUE,10:00,11:20
10133R,26,THU,10:00,11:20
10134R,27,TUE,12:00,13:20
10134R,28,THU,12:00,13:20
10137R,29,MON,15:30,16:50
10137R,30,WED,15:30,16:50
10143R,31,MON,14:00,15:20
10143R,32,WED,14:00,15:20
10144R,33,TUE,12:30,13:50
10144R,34,THU,12:30,13:50
10145R,35,TUE,14:00,15:20
10145R,36,THU,14:00,15:20
10146R,37,MON,15:30,16:50
10146R,38,WED,15:30,16:50
10150R,39,MON,17:00,18:20
10150R,40,WED,17:00,18:20
10151R,41,TUE,15:30,16:50
10151R,42,THU,15:30,16:50
10152D,43,TUE,10:00,11:50
10152D,44,THU,10:00,11:50
10153D,45,MON,10:00,11:50
10153D,46,WED,10:00,11:50
10154D,47,MON,10:00,11:50
10154D,48,WED,10:00,11:50
10155D,49,TUE,10:00,11:50
10155D,50,THU,10:00,11:50
10157D,51,MON,12:00,13:50
10157D,52,WED,12:00,13:50
10159D,53,FRI,8:00,9:50
10160D,54,FRI,14:00,15:50
10162D,55,FRI,16:00,17:50
10165D,56,TUE,12:30,13:50
10165D,57,THU,12:30,13:50
10166D,58,TUE,17:00,18:20
10166D,59,THU,17:00,18:20
10170D,60,FRI,17:00,19:50
10171D,61,MON,15:30,16:50
10171D,62,WED,15:30,16:50
10172D,63,TUE,15:30,16:50
10172D,64,THU,15:30,16:50
10173D,65,MON,16:00,17:20
10173D,66,WED,16:00,17:20
10310D,67,TUE,9:30,10:50
10310D,68,THU,9:30,10:50
10311R,69,FRI,10:00,10:50
10312R,70,FRI,11:00,11:50
10313R,71,TUE,12:00,12:50
10314R,72,THU,12:00,12:50
10315R,73,MON,13:00,13:50
10316R,74,WED,13:00,13:50
10320D,75,TUE,11:00,12:20
10320D,76,THU,11:00,12:20
10321R,77,FRI,10:00,10:50
10322R,78,FRI,11:00,11:50
10323R,79,WED,10:00,10:50
10324R,80,MON,10:00,10:50
10325R,81,WED,13:00,13:50
10327R,82,MON,13:00,13:50
10338D,83,TUE,11:00,12:20
10338D,84,THU,11:00,12:20
10339R,85,WED,10:00,10:50
10340R,86,FRI,12:00,12:50
10341R,87,WED,11:00,11:50
10342R,88,WED,13:00,13:50
10343R,89,FRI,13:00,13:50
10344R,90,FRI,11:00,11:50
10347D,91,TUE,12:30,13:50
10347D,92,THU,12:30,13:50
10348D,93,WED,12:00,12:50
10349D,94,FRI,12:00,12:50
10359R,95,MON,10:00,11:50
10359R,96,WED,10:00,11:50
10360R,97,TUE,12:30,13:50
10360R,98,THU,12:30,13:50
10364R,99,FRI,11:00,11:50
10365R,100,FRI,13:00,13:50
10361R,101,TUE,14:00,15:20
10361R,102,THU,14:00,15:20
10362R,103,WED,15:00,15:50
10363R,104,FRI,11:00,11:50
10369R,105,WED,14:00,14:50
10370R,106,FRI,12:00,12:50
10371D,107,TUE,11:00,12:20
10371D,108,THU,11:00,12:20
10372D,109,TUE,9:30,10:50
10372D,110,THU,9:30,10:50
10373R,111,FRI,10:00,10:50
10375R,112,FRI,11:00,11:50
10376R,113,WED,12:00,12:50
10377R,114,MON,12:00,12:50
10378R,115,MON,13:00,13:50
10380R,116,WED,13:00,13:50
10390D,117,MON,12:00,13:50
10390D,118,WED,12:00,13:50
10392R,119,FRI,10:00,10:50
10393R,120,FRI,11:00,11:50
10395R,121,WED,16:00,16:50
10396R,122,WED,15:00,15:50
10399D,123,TUE,9:30,10:50
10399D,124,THU,9:30,10:50
10402R,125,FRI,10:00,10:50
10403R,126,FRI,11:00,11:50
10408D,127,MON,14:00,15:50
10408D,128,WED,14:00,15:50
10409R,129,WED,13:00,13:50
10410R,130,FRI,13:00,13:50
10411R,131,MON,16:00,16:50
10412R,132,WED,16:00,16:50
10413R,133,FRI,10:00,10:50
10415D,134,FRI,9:00,9:50
10420D,135,TUE,12:30,13:50
10420D,136,THU,12:30,13:50
10423D,137,TUE,11:00,12:20
10423D,138,THU,11:00,12:20
10425R,139,FRI,10:00,10:50
10427R,140,FRI,11:00,11:50
10414D,141,TUE,12:30,13:50
10414D,142,THU,12:30,13:50
10424D,143,TUE,14:00,16:50
10426D,144,MON,14:00,16:50
10428D,145,MON,14:00,15:20
10428D,146,WED,14:00,15:20
10430D,147,MON,14:00,15:20
10430D,148,WED,14:00,15:20
10434D,149,MON,17:00,18:20
10434D,150,WED,17:00,18:20
10433D,151,TUE,12:30,13:50
10436D,152,TUE,9:30,10:50
10436D,153,THU,9:30,10:50
10438D,154,TUE,12:30,13:50
10438D,155,THU,12:30,13:50
10439D,156,MON,14:00,16:50
10441D,157,,,
10442D,158,,,
10443D,159,WED,14:00,16:50
10466D,160,TUE,14:00,16:50
10468D,161,THU,17:00,19:50
10478D,162,,,
10476D,163,TUE,14:00,16:50
10489D,164,WED,14:00,16:50
10492D,165,TUE,14:00,16:50
10493D,166,,,
10495D,167,,,
10496D,168,,,
10497D,169,,,
10498D,170,,,
10499D,171,,,
10719R,172,MON,8:00,8:50
10835R,173,MON,9:00,9:50
10704R,174,MON,17:00,18:20
10704R,175,WED,17:00,18:20
10705R,176,WED,8:00,8:50
10706R,177,WED,9:00,9:50
10707R,178,WED,10:00,10:50
10708R,179,MON,11:00,11:50
10805R,180,TUE,15:30,16:50
10805R,181,THU,15:30,16:50
10608R,182,MON,8:30,9:50
10608R,183,WED,8:30,9:50
10609R,184,MON,10:00,10:50
10611R,185,WED,10:00,10:50
10710R,186,TUE,9:30,10:50
10710R,187,THU,9:30,10:50
10711D,188,TUE,16:00,16:50
10712R,189,THU,16:00,16:50
10713R,190,MON,11:00,11:50
10714D,191,MON,15:00,15:50
10715R,192,TUE,14:00,15:20
10715R,193,THU,14:00,15:20
10613D,194,FRI,16:00,18:50
10831R,195,WED,14:00,16:50
10617R,196,TUE,12:30,13:50
10617R,197,THU,12:30,13:50
10619R,198,MON,9:00,9:50
10620R,199,MON,10:00,10:50
10621R,200,MON,14:00,14:50
10622R,201,MON,8:00,8:50
10624R,202,TUE,14:00,15:20
10624R,203,THU,14:00,15:20
10623R,204,WED,14:00,16:50
10626R,205,TUE,14:00,15:20
10626R,206,THU,14:00,15:20
10827R,207,TUE,10:00,10:50
10828R,208,TUE,11:00,11:50
10829R,209,THU,10:00,10:50
10830R,210,THU,11:00,11:50
10732R,211,TUE,9:30,10:50
10732R,212,THU,9:30,10:50
10633R,213,TUE,11:00,12:20
10633R,214,THU,11:00,12:20
