INSTR_ID,SCT_ID,SEM_ID
1,10106R,20231
2,10107R,20231
3,10111R,20231
4,10113D,20231
4,10114R,20231
4,10116R,20231
2,10119R,20231
3,10122R,20231
4,10123R,20231
3,10127R,20231
5,10131R,20231
6,10132R,20231
5,10133R,20231
5,10134R,20231
7,10137R,20231
2,10143R,20231
8,10144R,20231
9,10145R,20231
9,10146R,20231
6,10150R,20231
9,10151R,20231
8,10152D,20231
8,10153D,20231
10,10154D,20231
7,10155D,20231
10,10157D,20231
10,10159D,20231
11,10160D,20231
7,10162D,20231
11,10165D,20231
11,10166D,20231
12,10170D,20231
6,10171D,20231
1,10172D,20231
1,10173D,20231
13,10310D,20231
14,10311R,20231
14,10312R,20231
15,10313R,20231
15,10314R,20231
16,10315R,20231
16,10316R,20231
17,10320D,20231
18,10321R,20231
18,10322R,20231
18,10323R,20231
18,10324R,20231
18,10325R,20231
18,10327R,20231
19,10338D,20231
20,10339R,20231
21,10340R,20231
20,10341R,20231
22,10342R,20231
21,10343R,20231
22,10344R,20231
17,10347D,20231
23,10348D,20231
23,10349D,20231
24,10359R,20231
25,10360R,20231
26,10364R,20231
26,10365R,20231
27,10361R,20231
28,10362R,20231
28,10363R,20231
28,10369R,20231
28,10370R,20231
29,10371D,20231
30,10372D,20231
31,10373R,20231
31,10375R,20231
32,10376R,20231
33,10377R,20231
33,10378R,20231
32,10380R,20231
34,10390D,20231
35,10392R,20231
35,10393R,20231
36,10395R,20231
36,10396R,20231
29,10399D,20231
37,10402R,20231
37,10403R,20231
38,10408D,20231
28,10409R,20231
28,10410R,20231
28,10411R,20231
28,10412R,20231
28,10413R,20231
28,10415D,20231
39,10420D,20231
40,10423D,20231
41,10425R,20231
41,10427R,20231
42,10414D,20231
43,10424D,20231
44,10426D,20231
45,10428D,20231
46,10430D,20231
46,10434D,20231
47,10433D,20231
43,10436D,20231
48,10438D,20231
24,10439D,20231
49,10441D,20231
49,10442D,20231
50,10443D,20231
30,10466D,20231
51,10468D,20231
49,10478D,20231
40,10476D,20231
48,10489D,20231
52,10492D,20231
49,10493D,20231
49,10495D,20231
49,10496D,20231
49,10497D,20231
49,10498D,20231
49,10499D,20231
53,10719R,20231
53,10835R,20231
53,10704R,20231
53,10705R,20231
53,10706R,20231
53,10707R,20231
53,10708R,20231
54,10805R,20231
55,10608R,20231
56,10609R,20231
56,10611R,20231
57,10710R,20231
58,10711D,20231
58,10712R,20231
59,10713R,20231
59,10714D,20231
60,10715R,20231
61,10613D,20231
62,10831R,20231
63,10617R,20231
63,10619R,20231
63,10620R,20231
63,10621R,20231
63,10622R,20231
58,10624R,20231
64,10623R,20231
63,10626R,20231
63,10827R,20231
63,10828R,20231
63,10829R,20231
63,10830R,20231
62,10732R,20231
58,10633R,20231
58,10634R,20231
58,10635R,20231
58,10636R,20231
58,10637R,20231
65,10629R,20231
64,10632D,20231
66,10641D,20231
67,10761R,20231
50,10744D,20231
57,10640D,20231
68,10743D,20231
68,10643D,20231
68,10644D,20231
69,10901R,20231
66,10903R,20231
64,10672R,20231
57,10647R,20231
57,10648R,20231
68,10649D,20231
70,10650D,20231
71,10671R,20231
68,10700D,20231
72,59985D,20231
73,59986R,20231
72,59998D,20231
72,59999D,20231
74,41504D,20231
75,41515R,20231
75,41514R,20231
74,41528R,20231
75,41544R,20231
76,11800R,20231
77,11801R,20231
77,11802R,20231
78,11803R,20231
78,11804R,20231
79,11818R,20231
80,11819R,20231
80,11820R,20231
